City_locality,iso3,country,super_region,super_region_name,pm25,sat_2014
NOTTINGHAM,GBR,United Kingdom,1,HighIncome,12,11.8269996643066
NOVA GORICA,SVN,Slovenia,4,E-Eur/C-Eur/C-Asia,17,18.1919994354248
NOVARA,ITA,Italy,1,HighIncome,20.5,30.2959976196289
NOVI SAD,SRB,Serbia,4,E-Eur/C-Eur/C-Asia,20,25.2024955749512
NOVO MESTO,SVN,Slovenia,4,E-Eur/C-Eur/C-Asia,21,16.036003112793
NOWA RUDA,POL,Poland,4,E-Eur/C-Eur/C-Asia,35,20.3619918823242
NOWY SACZ,POL,Poland,4,E-Eur/C-Eur/C-Asia,36,18.962495803833
NOWY TOMYSL,POL,Poland,4,E-Eur/C-Eur/C-Asia,30,18.8519992828369
Nsukka,NGA,Nigeria,7,Sub-Saharan Afr,14,50.823486328125
NUITS-SAINT-GEORGES,FRA,France,1,HighIncome,12,14.4629983901978
NURAMINIS,ITA,Italy,1,HighIncome,15,10.800498008728
Ny´è_´è__regyh´è_´è__za,HUN,Hungary,4,E-Eur/C-Eur/C-Asia,26,21.9035034179688
Nyaung Oo,MMR,Myanmar,6,SE-Asia/E-Asia/Oceania,51,27.7914943695068
OAKVILLE,CAN,Canada,1,HighIncome,8,8.94850063323975
OBEJO,ESP,Spain,1,HighIncome,7,9.95899868011475
OBERRIED-HOFSGRUND,DEU,Germany,1,HighIncome,7,16.4024982452393
